OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
NOAA 1 [-],1970-106A,2024-01-20T15:35:16.007712,12.54023460,.0031298,101.4719,77.7681,266.8877,262.0133,0,U,4793,999,43056,.67289E-4,-.33E-6,0
NOAA 2 (ITOS-D) [-],1972-082A,2024-01-20T14:37:17.174784,12.53173528,.0004134,102.0095,17.9058,45.9873,68.1735,0,U,6235,999,34489,.21219E-3,-.13E-6,0
NOAA 3 [-],1973-086A,2024-01-20T15:34:08.713344,12.40362675,.0006554,102.2680,15.3977,299.2280,175.4821,0,U,6920,999,27297,.26268E-3,-.11E-6,0
NOAA 4 [-],1974-089A,2024-01-20T14:03:37.101312,12.53175738,.0009159,101.9782,13.5354,72.1549,41.7228,0,U,7529,999,24946,.2389E-3,-.8E-7,0
NOAA 5 [-],1976-077A,2024-01-20T13:50:28.497408,12.37794297,.000959,102.1878,354.3787,147.2754,325.5366,0,U,9057,999,14576,.26013E-3,-.12E-6,0
TIROS N [-],1978-096A,2024-01-20T18:08:56.290848,14.18714552,.0009498,98.5550,66.5475,264.1245,95.8849,0,U,11060,999,55440,.16933E-3,.309E-5,0
NOAA 6 [-],1979-057A,2024-01-20T14:32:18.532320,14.34318283,.0009867,98.6407,41.9399,345.9843,14.1066,0,U,11416,999,32495,.26024E-3,.687E-5,0
NOAA 7 [-],1981-059A,2024-01-20T14:36:31.655808,14.17477449,.001055,98.9170,79.6460,257.1022,102.8974,0,U,12553,999,20026,.87189E-4,.132E-5,0
NOAA 8 [-],1983-022A,2024-01-20T14:00:38.547072,14.29132799,.0014202,98.7253,20.3266,310.4654,49.5289,0,U,13923,999,12554,.17428E-3,.398E-5,0
NOAA 9 [-],1984-123A,2024-01-20T15:24:10.245600,14.16494817,.0014222,99.1100,14.5037,319.8560,156.7190,0,U,15427,999,1901,.18933E-3,.33E-5,0
NOAA 10 [-],1986-073A,2024-01-20T14:11:30.414336,14.28507729,.0013033,98.6270,8.0378,50.1871,62.5585,0,U,16969,999,94393,.16742E-3,.376E-5,0
NOAA 11 [-],1988-089A,2024-01-20T11:50:42.142848,14.15476256,.0010263,98.4974,349.7877,306.4314,53.5913,0,U,19531,999,82315,.11833E-3,.19E-5,0
NOAA 12 [-],1991-032A,2024-01-20T19:59:38.893056,14.26228943,.0014804,98.5477,15.3815,76.8656,283.4175,0,U,21263,999,69999,.13397E-3,.279E-5,0
NOAA 13 [-],1993-050A,2024-01-20T19:31:45.294816,14.13121646,.0010395,98.5855,344.1297,114.3161,245.9099,0,U,22739,999,56953,.18564E-3,.305E-5,0
NOAA 14 [-],1994-089A,2024-01-20T14:26:08.373984,14.14341704,.0010634,98.4279,24.8861,90.2212,270.0181,0,U,23455,999,49899,.103E-3,.156E-5,0
NOAA 15 [B],1998-030A,2024-01-20T19:41:43.342656,14.26476387,.0010998,98.5857,50.9342,43.0017,317.2021,0,U,25338,999,33628,.15264E-3,.325E-5,0
NOAA 16 [-],2000-055A,2024-01-20T18:59:28.447872,14.13517737,.0009514,98.5547,67.0215,304.1910,55.8361,0,U,26536,999,20311,.11792E-3,.18E-5,0
NOAA 17 [-],2002-032A,2024-01-20T19:54:08.973792,14.25466936,.0012261,98.7449,331.6679,24.3101,335.8654,0,U,27453,999,12182,.19637E-3,.42E-5,0
NOAA 18 [B],2005-018A,2024-01-20T19:20:22.003872,14.13105005,.0015137,98.8897,98.9411,122.6204,237.6431,0,U,28654,999,96230,.21469E-3,.357E-5,0
NOAA 19 [+],2009-005A,2024-01-20T19:22:53.085504,14.12910348,.0013627,99.0710,74.8977,354.4553,5.6465,0,U,33591,999,77067,.1904E-3,.309E-5,0
SUOMI NPP [+],2011-061A,2024-01-20T19:32:05.980704,14.19545506,.0001156,98.7274,321.0385,61.8785,298.2508,0,U,37849,999,63381,.11284E-3,.194E-5,0
NOAA 20 [+],2017-073A,2024-01-20T20:22:20.791200,14.19535635,.0000718,98.7353,321.0315,116.1856,243.9394,0,U,43013,999,31985,.1165E-3,.202E-5,0
NOAA 21 (JPSS-2) [+],2022-150A,2024-01-20T14:00:23.336352,14.19562940,.0001114,98.7389,320.3285,105.5764,254.5535,0,U,54234,999,6189,.13563E-3,.242E-5,0
